caseid,srv_spend,campfin,immig_legal,immig_numb,equalpay,parleave,crimespend,death,terror_worry,minwage,healthspend,childcare,getahead,freetrade
158,1,4,4,4,4,1,2,1,3,4,4,4,5,4
159,7,1,7,7,1,1,1,1,1,1,1,1,1,4
160,7,1,2,3,1,1,3,3,9,1,1,2,2,7
161,2,4,2,5,1,2,4,3,3,2,6,6,2,6
162,5,4,3,7,1,4,1,2,1,2,3,3,1,5
163,4,4,4,4,1,4,3,3,4,1,4,4,2,4
164,2,1,2,7,2,3,3,1,9,2,3,4,4,5
165,997,4,4,5,3,4,4,4,9,1,2,4,2,7
166,1,1,1,3,2,3,3,1,2,2,7,7,3,2
167,2,4,2,4,4,5,5,7,2,4,7,7,3,6
168,3,2,2,5,1,4,4,3,9,2,4,4,4,3
169,1,1,1,3,2,4,5,3,3,2,6,7,3,6
170,4,5,3,4,1,2,5,4,3,1,4,4,3,3
171,1,6,2,7,6,7,2,1,9,4,7,7,4,6
172,997,4,4,4,2,7,4,1,1,2,4,4,1,4
173,5,1,2,3,1,1,3,7,4,1,2,1,3,3
174,1,1,3,7,2,7,1,1,9,2,4,4,1,7
175,6,1,1,1,1,1,5,7,9,1,1,1,2,7
176,1,1,6,5,3,6,2,1,3,4,6,5,4,5
177,4,2,4,7,1,4,2,1,2,2,4,4,3,4
178,4,2,5,6,5,3,2,1,9,2,6,5,4,2
179,4,4,4,4,2,2,3,7,9,1,1,3,2,4
180,5,4,2,4,1,2,2,1,9,2,3,2,2,4
181,997,1,3,6,2,2,1,1,9,1,7,3,3,7
182,7,3,6,5,3,3,5,2,2,2,3,3,2,3
183,1,4,4,4,7,7,3,1,4,3,7,7,4,5
184,997,4,4,4,1,1,1,2,3,1,1,1,2,4
185,3,2,2,3,6,5,4,3,3,4,3,4,3,3
186,5,1,1,3,1,6,2,5,9,1,3,7,3,5
187,4,1,4,3,1,1,4,1,9,1,1,4,2,4
188,1,4,1,3,5,3,2,1,3,2,7,7,3,6
189,1,3,1,4,4,6,4,3,9,2,5,5,3,7
190,4,1,7,7,1,1,4,1,2,2,6,4,1,7
191,7,1,1,1,1,1,4,6,9,1,1,1,3,2
192,5,1,2,4,1,2,4,6,4,1,2,2,2,6
193,3,2,2,4,4,3,4,2,1,2,7,7,2,4
194,4,4,4,4,7,4,4,2,5,4,4,4,4,3
195,1,4,1,6,4,4,8,2,2,4,7,7,2,4
196,3,4,4,4,1,7,2,1,9,4,4,7,4,2
197,1,4,6,6,4,4,4,1,1,2,4,6,1,6
198,4,4,1,4,2,5,3,2,1,1,5,4,2,5
199,3,1,2,3,1,1,4,2,9,1,3,3,2,4
200,1,4,5,5,4,1,7,1,1,1,7,7,1,7
201,997,4,2,5,3,7,2,1,3,2,7,4,5,4
202,997,4,4,4,4,4,4,4,2,2,4,4,3,4
203,6,1,2,3,1,1,2,7,9,1,1,1,2,1
204,4,4,2,5,1,1,1,2,9,1,4,4,2,3
205,2,7,3,4,3,5,4,1,4,2,7,7,2,4
206,3,1,2,5,3,3,2,4,2,2,2,3,2,4
207,997,6,1,2,2,2,1,2,2,1,2,4,3,2
208,1,1,1,4,1,1,1,4,1,1,4,4,2,1
209,5,1,2,4,1,1,5,7,9,1,2,3,3,2
210,1,1,6,5,2,6,2,1,3,4,6,5,5,4
211,2,3,2,6,4,3,4,2,9,2,2,4,2,7
212,1,1,2,3,1,2,2,1,1,1,5,4,1,4
213,5,2,4,4,1,1,3,2,9,1,2,2,2,4
214,5,2,4,6,1,2,3,1,9,1,3,3,2,5
215,1,4,2,4,1,7,6,1,3,4,7,7,3,7
216,5,1,5,4,1,1,4,7,9,1,2,2,2,4
217,5,6,1,2,1,2,2,2,1,1,4,4,2,3
218,3,2,2,4,4,4,4,2,1,2,4,4,4,4
219,2,1,1,6,1,1,2,2,1,2,4,2,3,2
220,1,6,3,5,7,7,5,3,9,4,7,7,5,2
221,1,4,4,5,1,1,4,1,9,1,4,3,5,2
222,6,1,2,4,1,1,4,7,4,1,2,3,2,4
223,2,1,5,6,4,6,1,2,9,2,6,7,2,6
224,997,4,4,4,4,4,4,4,2,1,4,4,4,4
225,7,1,2,4,1,1,2,7,9,1,1,2,2,6
226,2,6,4,7,3,3,4,3,2,2,5,5,2,7
227,1,7,1,2,2,7,4,2,9,2,7,7,4,3
228,1,1,4,4,1,3,4,2,2,2,6,6,3,4
229,5,1,2,4,1,1,3,3,9,1,2,2,3,4
230,2,4,1,4,1,3,5,2,9,2,6,6,3,2
231,3,7,2,4,2,1,4,1,1,1,2,3,2,6
232,3,2,2,4,2,2,2,1,2,2,4,4,4,3
233,4,7,1,4,1,1,3,3,5,1,4,3,1,3
234,1,3,1,1,4,7,7,1,9,4,7,7,4,6
235,3,4,2,5,1,4,2,1,1,2,4,4,2,4
236,6,1,1,2,4,1,2,6,9,1,1,1,1,6
237,7,7,1,1,1,1,1,2,3,1,1,1,2,7
238,4,4,2,5,5,4,4,2,3,2,3,5,2,3
239,3,2,6,4,4,4,4,4,9,3,4,3,4,6
240,1,1,6,7,1,1,1,4,1,1,1,2,1,7
241,6,2,6,2,1,1,1,1,9,1,2,2,4,3
242,5,3,2,4,1,1,3,7,9,1,2,3,1,3
