caseid,terror_worry,terror_12mo,terror_local,syrians_b,pc_a,pc_b
328,4,2,4,7,4,9
329,5,9,5,4,9,3
330,4,9,5,2,9,2
331,9,4,5,9,9,4
332,2,1,3,5,1,9
333,3,4,4,9,9,4
334,2,3,2,7,4,9
335,9,2,2,9,1,9
336,4,9,5,6,9,4
337,9,5,2,9,9,4
338,9,2,5,9,9,4
339,9,3,5,4,3,9
340,4,4,4,1,9,1
341,9,3,4,4,4,9
342,2,4,3,9,9,2
343,1,1,2,9,2,9
344,2,1,3,9,9,4
345,4,9,4,1,4,9
346,9,2,2,9,4,9
347,4,4,4,9,9,4
348,9,4,5,1,9,2
349,2,2,3,7,3,9
350,3,4,4,9,4,9
351,3,9,4,1,9,3
352,1,9,3,7,9,4
353,1,9,1,7,9,1
354,5,9,4,3,9,3
355,4,9,3,9,9,4
356,2,9,4,9,9,4
357,9,2,5,2,9,3
358,2,9,3,4,4,9
359,9,4,5,3,9,2
360,9,3,5,9,3,9
361,3,9,5,7,9,4
362,9,2,3,7,4,9
363,2,9,5,9,4,9
364,5,5,5,7,4,9
365,2,9,3,9,9,3
366,1,1,2,9,9,4
367,9,4,5,1,9,1
368,3,9,3,9,9,2
369,9,5,5,7,4,9
370,9,2,4,9,1,9
371,9,1,2,7,9,4
372,3,3,5,6,9,4
373,1,3,4,9,4,9
374,4,3,5,9,4,9
375,2,2,2,9,9,1
376,1,3,5,6,9,4
377,9,5,5,4,9,4
378,9,2,2,7,9,2
379,1,3,4,6,9,4
380,9,2,5,9,4,9
381,1,9,4,9,9,1
382,9,5,5,9,9,1
383,5,5,5,4,9,2
384,9,5,5,9,9,1
385,1,9,5,7,9,4
386,2,2,5,7,4,9
387,3,5,4,9,3,9
388,9,4,5,3,3,9
389,9,2,3,7,4,9
390,1,9,4,7,1,9
391,3,3,4,9,9,3
392,9,4,3,4,9,1
393,9,3,3,4,9,2
394,1,9,4,7,9,4
395,1,9,1,7,4,9
396,2,9,2,9,9,2
397,3,1,4,9,4,9
398,9,4,4,3,9,1
399,9,3,4,6,9,4
400,9,2,4,7,9,4
401,1,9,1,9,9,3
402,1,1,2,9,9,4
403,1,2,4,9,9,3
404,1,1,4,7,9,2
405,5,9,5,3,9,2
406,5,4,5,9,2,9
407,9,2,5,7,9,3
408,9,3,5,9,9,1
409,5,9,5,7,9,4
410,1,9,3,7,4,9
411,9,4,5,9,2,9
412,1,9,3,9,9,4
413,2,9,3,9,4,9
414,9,1,3,9,4,9
415,3,3,5,9,9,2
416,1,9,4,9,9,1
417,3,3,3,6,9,3
418,9,1,1,9,9,4
419,1,9,2,9,9,4
420,2,9,4,1,9,4
421,9,3,5,9,4,9
422,4,5,5,9,3,9
423,9,5,5,2,3,9
424,2,9,3,9,9,4
425,9,3,5,9,3,9
426,5,5,5,9,9,3
427,9,5,5,2,2,9
428,5,9,5,6,4,9
429,9,5,4,3,3,9
430,9,2,4,9,9,1
431,2,9,3,9,9,4
432,9,3,5,9,9,2
433,9,2,3,9,9,4
434,4,9,4,9,9,1
435,3,3,4,9,4,9
436,2,9,3,9,9,3
437,9,1,3,7,4,9
438,9,4,3,3,2,9
439,1,9,2,7,9,4
440,2,1,3,9,9,4
441,9,2,4,6,3,9
442,4,4,5,3,9,2
443,1,9,5,9,9,3
444,9,4,4,7,3,9
445,1,9,4,9,9,1
446,9,4,5,2,9,1
447,1,9,3,7,4,9
448,9,3,3,9,9,3
449,3,1,5,9,4,9
450,2,9,4,9,4,9
451,9,3,3,9,4,9
452,3,3,4,4,4,9
453,2,2,2,5,4,9
454,9,1,1,7,9,1
455,3,9,4,9,1,9
456,4,9,5,2,9,2
457,1,2,3,7,1,9
458,9,3,3,9,3,9
459,9,1,1,9,4,9
460,9,3,4,5,4,9
461,2,3,4,6,9,2
