caseid,meet,givefut,info,march,sign,give12mo
575,5,5,5,2,2,2
576,5,3,5,2,2,2
577,4,2,2,2,2,1
578,5,5,4,2,2,2
579,5,5,5,2,2,2
580,4,5,4,1,1,1
581,4,1,2,2,2,1
582,5,4,5,2,2,1
583,1,1,1,2,2,2
584,2,3,4,2,2,2
585,5,5,5,2,2,2
586,1,1,2,1,1,1
587,5,3,4,2,2,1
588,5,5,5,2,2,2
589,5,5,5,2,2,1
590,5,5,5,2,2,2
591,5,5,4,2,2,2
592,2,3,3,1,1,2
593,5,3,3,1,2,2
594,5,5,5,2,2,2
595,5,4,4,2,1,1
596,5,5,5,2,2,2
597,5,5,5,2,2,2
598,1,2,3,2,1,2
599,5,5,5,2,2,2
600,5,5,5,2,2,2
601,4,4,4,1,2,1
602,2,3,2,2,1,1
603,5,5,5,2,2,2
604,3,2,4,2,1,1
605,2,2,2,2,2,2
606,5,5,5,2,2,2
607,5,5,5,2,2,2
608,4,5,5,2,2,2
609,1,1,1,1,1,1
610,1,1,1,1,1,1
611,5,3,5,2,2,2
612,3,4,4,2,2,2
613,2,2,2,1,1,1
614,4,5,5,2,2,2
615,5,5,4,2,2,2
616,5,5,5,2,2,2
617,4,3,3,2,2,2
618,3,3,3,1,1,2
619,3,3,3,2,2,2
620,4,5,5,2,2,2
621,3,5,1,2,2,2
622,5,3,5,2,2,2
623,5,5,5,2,2,2
624,3,3,3,2,2,2
625,3,5,5,2,2,2
626,5,5,5,2,2,2
627,5,5,4,2,2,2
628,3,3,3,2,2,2
629,5,5,5,2,2,2
630,5,5,5,2,1,2
631,3,3,4,2,1,1
632,4,5,5,2,2,2
633,5,5,4,2,2,2
634,4,4,4,2,2,2
635,5,5,5,2,2,2
636,3,1,5,2,2,2
637,3,4,4,2,2,2
638,3,2,5,2,2,1
639,4,4,5,2,1,2
640,3,2,3,2,2,1
641,3,3,3,2,2,2
642,5,5,5,2,2,2
643,5,5,4,2,2,2
644,5,5,5,2,2,2
645,4,5,5,2,2,2
646,4,4,4,2,2,2
647,5,5,5,2,2,2
648,4,4,4,2,2,2
649,5,5,5,2,2,2
650,5,3,5,1,2,1
651,3,4,5,2,2,2
652,4,5,5,2,2,2
653,5,5,5,2,2,2
654,4,3,5,2,2,1
655,5,5,4,2,2,2
656,5,5,5,2,2,2
657,5,5,5,2,2,2
658,4,5,5,2,2,2
659,5,5,5,2,2,2
660,3,4,4,2,2,2
661,1,1,5,2,2,2
662,1,1,1,1,2,1
663,3,4,4,2,2,2
664,2,5,5,1,2,2
665,5,5,5,2,2,2
666,4,4,1,2,2,2
667,5,4,4,2,2,2
668,5,5,5,2,2,2
669,1,2,2,2,2,2
670,4,5,5,2,2,2
671,1,3,3,2,2,2
672,5,5,5,2,2,2
673,5,5,5,2,2,2
674,5,3,3,2,2,1
675,1,4,1,1,1,2
676,4,4,5,1,2,2
677,3,5,4,2,2,2
678,2,4,5,2,2,2
679,2,3,2,1,1,2
680,5,5,4,2,1,1
681,1,2,1,2,2,2
682,4,5,5,2,2,2
683,3,4,3,2,1,2
684,3,4,4,2,2,1
685,4,2,4,2,2,2
686,4,5,5,2,2,2
687,5,5,5,2,2,2
688,3,2,5,1,1,1
689,3,3,2,2,1,2
690,5,5,5,2,2,2
691,3,4,3,2,1,2
692,3,5,5,1,2,2
693,3,5,5,2,2,2
694,5,4,5,2,2,2
695,3,5,5,2,2,2
696,3,3,3,2,1,2
697,2,5,5,2,2,2
698,4,5,5,2,2,2
699,1,3,1,1,1,1
700,2,3,4,2,2,1
701,2,1,1,1,1,2
702,3,3,5,2,2,2
703,3,4,3,2,2,2
704,5,1,4,2,2,1
705,4,4,4,1,1,1
706,5,3,5,2,2,2
707,3,3,4,2,2,2
708,3,4,3,2,2,2
709,4,5,5,2,2,2
710,1,1,1,2,2,1
711,5,5,5,2,2,2
712,4,4,4,2,2,2
713,2,2,4,2,1,2
714,2,2,3,2,2,2
715,3,5,3,2,2,2
716,4,4,4,2,2,2
717,3,4,3,2,2,2
718,3,5,4,2,2,2
719,3,5,4,2,2,2
720,5,5,5,2,2,2
721,5,5,5,2,2,1
722,4,3,3,2,2,2
723,3,1,4,2,2,1
724,3,5,2,1,2,2
725,2,3,3,2,2,2
726,3,2,3,2,2,2
727,5,5,5,2,2,2
728,2,2,2,2,2,2
729,3,3,3,2,2,2
730,5,5,5,2,2,2
731,3,4,3,2,2,2
732,5,4,5,2,2,2
733,2,2,3,1,1,1
734,1,5,5,2,2,2
735,5,5,5,2,2,2
736,5,5,5,2,1,2
737,3,5,3,2,2,2
738,3,4,4,2,2,2
739,4,4,4,1,2,2
740,3,2,3,2,2,2
741,2,2,1,1,2,2
742,3,3,4,2,2,2
743,4,4,3,2,2,2
744,3,5,4,2,2,2
745,5,4,5,2,2,2
746,5,5,4,2,2,2
747,3,2,3,1,1,1
748,5,5,5,2,2,2
749,5,5,5,2,2,2
750,4,5,5,2,2,2
