caseid,follow,compromise,reg,demcand,repcand
323,2,2,1,4,11
324,2,2,1,1,9
325,1,2,1,5,8
326,2,1,1,3,7
327,1,1,1,1,3
328,1,1,1,1,3
329,3,2,1,5,11
330,1,1,1,1,11
331,1,1,1,2,4
332,1,1,1,1,1
333,1,2,1,5,9
334,1,1,1,3,9
335,2,2,1,1,9
336,1,2,1,5,7
337,1,2,1,5,4
338,1,2,1,5,8
339,2,1,1,3,11
340,1,1,1,1,6
341,2,1,1,1,8
342,1,2,2,1,9
343,1,1,1,5,6
344,1,1,1,5,5
345,1,1,1,3,6
346,1,1,1,3,9
347,3,2,1,3,1
348,1,1,1,3,11
349,2,2,1,5,9
350,1,1,1,5,9
351,1,2,1,3,11
352,1,2,1,5,9
353,2,1,1,1,9
354,3,1,2,1,5
355,2,1,1,3,11
356,1,2,1,4,5
357,1,1,1,3,3
358,2,2,1,4,4
359,1,2,1,1,8
360,1,1,1,3,4
361,1,2,1,3,11
362,1,2,2,5,11
363,3,1,1,4,11
364,1,1,1,5,9
365,1,1,1,5,8
366,1,1,1,5,4
367,1,1,1,1,11
368,3,1,1,4,10
369,2,2,1,1,9
370,1,2,1,1,11
371,1,2,1,5,4
372,1,2,1,5,4
373,1,2,1,5,8
374,4,2,1,4,7
375,2,1,1,1,11
376,1,1,1,5,9
377,1,1,1,3,7
378,2,1,1,5,9
379,1,1,1,5,4
380,1,2,1,5,4
381,1,2,1,1,11
382,1,1,1,1,11
383,2,1,1,4,11
384,1,1,1,1,11
385,1,1,1,1,9
386,2,1,1,1,9
387,4,1,1,5,11
388,2,1,1,3,3
389,1,1,1,5,9
390,1,1,1,1,7
391,2,2,1,3,11
392,2,1,1,1,11
393,2,2,1,5,11
394,1,2,1,5,4
395,1,1,1,2,8
396,1,1,1,2,9
397,1,2,1,4,4
398,1,1,1,3,11
399,2,2,1,2,9
400,1,2,1,4,9
401,1,2,1,1,11
402,1,1,1,5,8
403,2,2,1,1,11
404,1,1,1,5,9
405,4,1,1,1,1
406,1,1,1,3,11
407,1,2,1,5,4
408,3,2,1,3,4
409,1,2,1,3,4
410,1,2,1,4,9
411,1,1,1,3,11
412,1,2,1,5,5
413,1,2,1,5,5
414,1,1,1,5,9
415,1,2,1,3,11
416,1,2,1,1,11
417,2,1,2,5,9
418,1,2,1,2,9
419,1,2,1,4,8
420,1,2,1,2,4
421,2,1,1,3,3
422,1,2,1,1,2
423,3,1,3,5,11
424,2,2,1,5,9
425,2,2,1,4,10
426,1,1,1,3,10
427,1,1,1,3,7
428,1,1,1,5,11
429,3,1,1,3,5
430,2,1,1,3,11
431,1,2,1,2,4
432,2,1,1,1,11
433,1,1,1,2,8
434,1,1,1,3,11
435,3,1,1,5,11
436,1,1,1,3,8
437,2,1,1,5,9
438,1,1,1,3,6
439,1,1,1,5,9
440,1,2,1,4,9
441,2,1,1,5,2
442,1,1,1,1,11
443,3,1,1,5,9
444,1,1,1,5,7
445,1,1,1,2,6
446,1,2,1,3,11
447,1,2,1,5,9
448,2,1,1,1,3
449,1,2,1,5,4
450,3,1,1,1,11
451,1,1,1,2,9
452,1,2,1,2,4
453,4,2,1,3,11
454,1,2,1,3,9
455,2,1,2,1,11
456,1,1,1,3,11
457,1,1,1,4,2
458,2,1,1,5,11
459,1,1,1,1,11
460,1,1,1,5,1
461,2,1,1,1,1
462,2,2,2,1,3
463,1,1,1,1,7
464,1,1,1,1,9
465,1,2,1,5,7
466,1,2,1,3,11
467,1,1,1,5,11
468,1,2,1,5,2
469,1,1,1,1,11
470,1,1,1,3,2
471,2,2,1,4,4
472,1,2,1,5,9
473,1,2,1,5,5
474,2,2,1,3,2
475,1,2,1,1,6
476,2,2,1,5,2
477,1,2,1,2,9
478,1,1,1,2,6
479,1,2,1,4,8
480,2,1,3,1,11
481,1,1,1,3,8
482,3,2,1,1,9
483,1,1,1,1,11
484,3,2,1,5,2
485,1,2,1,1,4
486,1,2,1,2,4
487,3,1,1,1,4
488,1,2,1,5,7
489,1,1,1,1,1
490,1,2,1,5,7
491,1,1,1,3,9
492,3,2,1,5,9
493,2,1,1,5,9
494,2,2,2,1,4
495,2,2,1,1,9
496,3,2,1,5,9
497,1,2,1,3,11
498,1,1,1,1,11
499,1,1,1,1,6
500,2,1,1,3,1
501,3,1,2,5,11
502,1,2,1,1,3
503,1,1,1,1,5
504,1,2,1,5,2
505,1,1,1,1,7
506,1,1,1,1,11
507,1,2,2,5,9
508,2,1,1,3,11
509,3,1,1,1,9
510,1,2,1,4,4
511,1,2,1,5,9
512,1,2,1,2,9
513,1,2,2,5,11
514,1,2,1,5,4
515,1,2,1,2,4
516,1,1,1,2,8
517,2,1,1,5,9
518,1,1,1,2,6
519,1,1,1,5,10
520,2,1,1,1,11
521,1,2,1,5,9
522,1,2,1,4,9
523,1,1,1,1,11
524,1,2,1,5,9
525,1,1,1,1,1
526,1,2,1,1,11
527,1,2,1,4,4
528,2,2,1,3,11
529,1,1,1,1,11
530,2,1,1,2,8
531,1,2,1,4,9
532,3,1,1,5,11
533,1,1,1,5,2
534,2,1,1,2,4
535,2,2,2,4,4
536,1,1,1,2,2
537,1,1,1,1,11
538,2,1,3,5,9
539,3,1,1,3,4
540,2,2,1,3,11
541,2,2,1,4,2
542,1,1,1,3,11
543,3,2,1,1,11
544,1,1,1,5,8
545,2,2,2,5,9
546,1,1,1,1,6
547,2,1,1,5,8
548,2,1,1,2,7
549,1,2,1,1,11
550,2,2,1,3,1
551,1,1,1,3,3
552,3,1,1,1,9
553,2,1,1,5,2
554,1,1,1,3,6
555,1,2,1,1,11
556,1,1,1,5,2
557,1,1,1,1,9
558,2,1,1,3,9
559,1,1,1,3,8
560,1,1,1,3,6
561,1,1,1,1,1
562,1,1,1,1,1
563,1,1,1,2,6
564,2,1,1,3,7
565,1,1,1,1,11
566,2,1,1,3,11
567,2,1,1,3,9
568,4,2,1,5,3
569,1,1,1,1,11
570,1,1,1,5,9
571,2,2,1,5,9
572,1,1,1,5,8
573,2,2,1,1,11
574,3,1,1,3,8
575,2,2,1,1,11
576,2,1,1,3,11
577,1,2,1,5,9
578,3,1,2,4,9
579,1,1,1,4,9
580,1,1,1,8,3
581,1,2,1,3,11
582,1,1,1,5,3
583,1,2,1,5,11
584,1,2,1,5,4
585,3,1,1,1,11
586,1,1,1,3,11
587,1,1,1,1,8
588,3,2,1,3,11
589,1,1,1,1,11
590,2,1,1,3,11
591,2,1,1,3,9
592,1,1,1,1,9
593,1,2,2,5,11
594,1,2,1,3,9
595,1,1,1,2,4
596,3,2,2,5,11
597,3,2,1,5,9
598,1,1,1,1,9
599,3,1,1,1,11
600,3,2,1,5,8
601,1,1,1,1,9
602,1,1,1,3,11
603,2,1,1,5,9
604,2,1,1,1,11
605,2,1,1,3,11
606,4,1,1,5,11
607,2,1,1,3,8
608,2,2,1,5,9
609,1,1,1,3,2
610,1,1,1,1,2
611,1,1,1,5,8
612,1,2,2,1,10
613,1,1,1,3,11
614,1,2,1,1,11
615,3,1,1,1,11
616,2,1,1,1,11
617,2,1,1,1,2
618,1,1,1,1,8
619,3,2,2,5,11
620,2,2,1,3,6
621,1,1,3,1,9
622,1,1,1,3,11
623,2,1,1,5,9
624,2,2,1,5,11
625,3,1,2,3,4
626,2,1,1,3,3
627,1,1,1,3,9
628,4,2,2,5,11
629,2,2,1,5,9
630,3,1,1,5,5
631,1,2,1,3,9
632,1,1,1,3,11
633,1,1,1,5,9
634,1,1,1,5,4
635,4,2,2,5,9
636,1,1,1,1,11
637,1,1,2,5,11
638,1,2,1,5,4
639,1,2,1,5,1
640,2,1,1,1,9
641,3,2,3,5,11
642,2,1,1,1,11
643,2,2,1,1,9
644,4,1,1,3,11
645,3,2,1,3,2
646,2,2,1,1,11
647,4,2,2,5,11
648,1,1,1,1,7
649,1,1,1,1,1
650,2,1,1,3,9
651,2,1,1,1,11
652,2,2,1,5,2
653,1,2,1,5,9
654,2,1,1,1,9
655,3,2,2,3,7
656,2,1,1,1,11
657,2,1,1,1,11
658,2,2,1,3,6
659,3,1,2,5,11
660,1,2,1,5,4
661,4,2,1,1,4
662,1,2,1,1,7
663,2,2,1,1,1
664,2,1,1,3,7
665,2,2,1,3,9
666,1,2,1,5,4
667,4,1,1,3,9
668,2,1,1,1,11
669,1,2,1,1,6
670,3,1,1,5,9
671,1,2,1,1,1
672,2,1,1,1,1
673,3,1,1,4,10
674,2,2,1,3,7
675,1,1,1,1,6
676,1,1,1,1,11
