caseid,follow,compromise,reg,demcand,repcand
1149,2,1,1,5,4
1150,1,1,1,1,11
1151,2,2,1,3,9
1152,2,2,1,5,11
1153,1,1,1,3,7
1154,1,1,1,3,8
1155,2,1,1,1,11
1156,1,1,1,1,2
1157,2,2,1,1,9
1158,2,1,3,3,11
1159,1,1,1,5,7
1160,3,2,1,5,11
1161,2,2,1,3,8
1162,1,1,1,5,1
1163,3,1,1,5,1
1164,1,2,1,3,11
1165,3,1,1,3,6
1166,4,2,2,3,11
1167,4,2,1,3,2
1168,1,2,1,2,6
1169,1,1,1,1,11
1170,2,2,1,1,9
1171,2,1,1,3,7
1172,1,1,1,2,1
1173,3,1,1,1,4
1174,1,2,1,5,11
1175,1,2,1,3,11
1176,1,2,1,1,11
1177,2,2,1,4,9
1178,3,1,2,1,1
1179,1,1,2,1,1
1180,2,2,3,1,1
1181,3,2,2,5,11
1182,3,1,2,1,11
1183,3,1,1,1,3
1184,1,2,1,5,4
1185,1,1,1,3,11
1186,2,1,1,1,10
1187,1,2,1,3,3
1188,3,1,1,3,9
1189,1,2,1,2,9
1190,3,1,1,3,11
1191,2,1,1,3,11
1192,2,1,1,5,11
1193,2,2,1,3,10
1194,1,1,1,1,3
1195,3,2,2,3,2
1196,2,2,1,1,2
1197,3,2,1,1,4
1198,1,1,1,3,11
1199,2,2,2,1,4
1200,3,2,1,5,11
